Name,Email Address,Username,Date of Birth,Gender,Location,Membership Start Date,Membership End Date,Subscription Plan,Payment Information,Renewal Status,Usage Frequency,Purchase History,Favorite Genres,Devices Used,Engagement Metrics,Feedback/Ratings,Customer Support Interactions
Sandra Flores,christopher45@example.net,christopher45,1964-04-21,Female,Jacksonville,2024-02-03,2025-02-02,Annual,Mastercard,Manual,Occasional,Books,Action,Smartphone,High,3.1,2
Kathleen Reynolds,bhill@example.org,bhill,1952-12-10,Female,Jacksonville,2024-01-30,2025-01-29,Monthly,Amex,Auto-renew,Frequent,Electronics,Horror,Tablet,Low,4.6,10
Frederick Wright,hhenry@example.org,hhenry,1968-01-13,Male,Philadelphia,2024-02-01,2025-01-31,Monthly,Mastercard,Manual,Frequent,Electronics,Documentary,Smart TV,Medium,3.7,8
Barbara Harper DDS,austinestrada@example.net,austinestrada,2004-02-17,Male,Los Angeles,2024-02-23,2025-02-22,Annual,Mastercard,Manual,Frequent,Books,Romance,Smart TV,Medium,4.5,9
Parker May,piercehector@example.org,piercehector,1946-01-21,Female,Houston,2024-01-11,2025-01-10,Monthly,Mastercard,Auto-renew,Frequent,Clothing,Comedy,Smartphone,Low,3.9,5
Bryan Bolton,carl18@example.net,carl18,1974-02-26,Female,Chicago,2024-03-03,2025-03-03,Monthly,Amex,Manual,Regular,Electronics,Comedy,Tablet,High,4.4,10
Victoria Anderson,sanchezsherry@example.org,sanchezsherry,1967-07-16,Male,Boston,2024-01-12,2025-01-11,Monthly,Visa,Auto-renew,Occasional,Books,Action,Tablet,Low,4.9,0
Julie Riley,dprice@example.org,dprice,1957-05-27,Female,Phoenix,2024-03-30,2025-03-30,Monthly,Amex,Auto-renew,Frequent,Books,Drama,Smartphone,Low,3.9,6
Christine Moore,keith59@example.org,keith59,1987-01-17,Female,Austin,2024-01-16,2025-01-15,Monthly,Mastercard,Manual,Occasional,Electronics,Documentary,Smart TV,High,4.2,9
Christopher Johnson,ashley32@example.org,ashley32,1988-09-14,Female,Los Angeles,2024-01-10,2025-01-09,Monthly,Visa,Manual,Frequent,Clothing,Comedy,Smart TV,Low,4.6,9
Jason Ward,klopez@example.net,klopez,1972-04-29,Female,Philadelphia,2024-01-20,2025-01-19,Annual,Visa,Manual,Regular,Books,Horror,Smartphone,Medium,4.9,7
Michelle Robinson,anna10@example.org,anna10,1934-03-31,Female,Los Angeles,2024-02-25,2025-02-24,Annual,Mastercard,Auto-renew,Regular,Clothing,Sci-Fi,Smartphone,Medium,4.2,2
Brianna Drake,vickierobinson@example.com,vickierobinson,1984-12-10,Female,Chicago,2024-03-11,2025-03-11,Annual,Mastercard,Auto-renew,Occasional,Electronics,Documentary,Smart TV,Medium,4.2,9
Sarah Mosley,fhughes@example.com,fhughes,2000-10-15,Male,Los Angeles,2024-02-22,2025-02-21,Annual,Visa,Manual,Regular,Books,Documentary,Smartphone,Medium,4.0,0
Christopher Johnson,leonardharvey@example.org,leonardharvey,1957-09-27,Female,New York,2024-01-29,2025-01-28,Annual,Amex,Manual,Frequent,Electronics,Horror,Smartphone,Low,4.4,1
Michelle West,normanjermaine@example.com,normanjermaine,1946-07-17,Male,Detroit,2024-01-29,2025-01-28,Annual,Mastercard,Manual,Frequent,Books,Action,Smart TV,Medium,4.6,7
Crystal Gomez,xrodriguez@example.net,xrodriguez,1973-11-29,Female,New York,2024-03-09,2025-03-09,Monthly,Amex,Auto-renew,Frequent,Books,Drama,Tablet,Low,3.8,2
Jennifer Pham,jonesalbert@example.net,jonesalbert,1940-01-26,Male,New York,2024-02-02,2025-02-01,Monthly,Mastercard,Auto-renew,Frequent,Clothing,Romance,Smart TV,Medium,3.8,3
Michael Smith,rrobles@example.org,rrobles,1982-09-16,Female,Chicago,2024-03-20,2025-03-20,Annual,Mastercard,Auto-renew,Occasional,Electronics,Romance,Smartphone,Low,3.8,1
Mr. Corey Martin,hollandjustin@example.net,hollandjustin,1986-12-10,Male,Fort Worth,2024-03-17,2025-03-17,Annual,Mastercard,Manual,Regular,Electronics,Action,Tablet,High,3.9,6
Dominique Barnett,fmoore@example.net,fmoore,2005-01-05,Male,Boston,2024-03-04,2025-03-04,Monthly,Amex,Auto-renew,Regular,Clothing,Documentary,Tablet,High,3.1,9
Alexandra French,susangay@example.org,susangay,1961-09-20,Female,Washington,2024-02-05,2025-02-04,Monthly,Amex,Manual,Occasional,Clothing,Comedy,Smartphone,High,3.8,9
Sandy Garcia,nsoto@example.org,nsoto,1988-12-13,Female,New York,2024-01-08,2025-01-07,Annual,Amex,Manual,Regular,Electronics,Action,Smart TV,Low,4.9,5
Richard Morales,shaneandrade@example.com,shaneandrade,1992-07-30,Female,Philadelphia,2024-01-06,2025-01-05,Annual,Mastercard,Auto-renew,Frequent,Electronics,Comedy,Smart TV,Medium,4.0,6
Martha Douglas,brian63@example.net,brian63,1997-05-04,Female,New York,2024-04-14,2025-04-14,Monthly,Visa,Auto-renew,Regular,Books,Romance,Smart TV,Low,3.9,7
John Campbell,anthonyjones@example.org,anthonyjones,1959-02-09,Female,New York,2024-04-07,2025-04-07,Annual,Mastercard,Manual,Occasional,Electronics,Romance,Tablet,Low,3.1,9
Michael Patton,jennifermiller@example.org,jennifermiller,1969-07-21,Male,Jacksonville,2024-02-19,2025-02-18,Monthly,Visa,Auto-renew,Regular,Electronics,Drama,Smartphone,Low,4.1,5
Emma Martinez,kerri32@example.org,kerri32,1970-10-23,Female,New York,2024-03-28,2025-03-28,Monthly,Visa,Auto-renew,Frequent,Books,Horror,Tablet,Low,3.1,8
Kristopher Miller,jessicahernandez@example.com,jessicahernandez,1980-06-11,Female,Oklahoma City,2024-01-01,2024-12-31,Annual,Mastercard,Manual,Occasional,Clothing,Sci-Fi,Smart TV,High,3.1,3
Antonio Chavez,vjohnson@example.net,vjohnson,1991-10-03,Female,Los Angeles,2024-01-13,2025-01-12,Monthly,Visa,Auto-renew,Frequent,Electronics,Comedy,Smart TV,High,3.1,4
Jordan Wallace,guerrerosheri@example.org,guerrerosheri,1937-11-13,Female,San Diego,2024-03-29,2025-03-29,Annual,Mastercard,Manual,Occasional,Clothing,Action,Smartphone,High,4.3,2
Alexander Pearson,heather26@example.net,heather26,1949-05-16,Male,Los Angeles,2024-01-13,2025-01-12,Monthly,Amex,Manual,Frequent,Electronics,Romance,Smart TV,Low,3.9,7
Daniel Allen,amy73@example.com,amy73,1984-03-17,Male,Dallas,2024-01-14,2025-01-13,Monthly,Mastercard,Auto-renew,Occasional,Books,Documentary,Tablet,Low,4.6,1
Bryan Martin,hunterthomas@example.org,hunterthomas,1992-12-07,Male,Indianapolis,2024-03-16,2025-03-16,Annual,Visa,Auto-renew,Occasional,Clothing,Drama,Smart TV,Medium,3.3,2
Wyatt Li,rwest@example.org,rwest,1936-10-09,Female,Phoenix,2024-04-07,2025-04-07,Monthly,Mastercard,Manual,Frequent,Books,Action,Smartphone,Low,3.9,10
Sean Berry,natalie27@example.com,natalie27,2002-06-21,Female,New York,2024-02-15,2025-02-14,Annual,Mastercard,Auto-renew,Occasional,Clothing,Romance,Smart TV,Medium,3.9,8
Laura Vega,zwilliams@example.net,zwilliams,1982-03-12,Female,San Antonio,2024-01-24,2025-01-23,Annual,Amex,Manual,Frequent,Electronics,Action,Smart TV,Low,3.8,6
Lori Garcia MD,matthewjackson@example.net,matthewjackson,1982-08-22,Male,Oklahoma City,2024-03-24,2025-03-24,Monthly,Mastercard,Auto-renew,Regular,Books,Comedy,Smartphone,Medium,3.8,1
Jenna Martinez,martin73@example.com,martin73,1978-12-13,Male,San Antonio,2024-01-04,2025-01-03,Monthly,Amex,Manual,Regular,Electronics,Comedy,Tablet,Medium,4.8,1
Clinton Greene,aaron27@example.com,aaron27,1965-08-22,Female,Chicago,2024-01-21,2025-01-20,Monthly,Visa,Manual,Regular,Books,Horror,Smartphone,Low,4.1,10
Patrick Perez,bpatterson@example.net,bpatterson,1988-04-16,Male,San Antonio,2024-01-15,2025-01-14,Monthly,Amex,Manual,Regular,Clothing,Documentary,Smart TV,Medium,4.9,6
Tiffany Oneill,xturner@example.org,xturner,1937-08-29,Female,New York,2024-02-12,2025-02-11,Annual,Amex,Auto-renew,Occasional,Clothing,Drama,Smart TV,High,4.1,2
Tammy Jarvis,cruztodd@example.org,cruztodd,1976-11-30,Female,Los Angeles,2024-03-25,2025-03-25,Monthly,Amex,Auto-renew,Frequent,Books,Comedy,Smart TV,High,3.4,5
Joseph Taylor,brooksaudrey@example.com,brooksaudrey,1988-12-03,Female,Boston,2024-02-16,2025-02-15,Monthly,Visa,Auto-renew,Frequent,Books,Romance,Smartphone,Medium,4.7,2
Jessica Chambers,christopher10@example.org,christopher10,1990-10-27,Female,Los Angeles,2024-01-13,2025-01-12,Monthly,Mastercard,Auto-renew,Occasional,Electronics,Documentary,Smart TV,Medium,4.0,2
Benjamin Harvey,amy83@example.net,amy83,1968-11-07,Male,San Jose,2024-02-16,2025-02-15,Annual,Visa,Manual,Occasional,Clothing,Documentary,Smartphone,Low,3.6,2
Robert Harmon,elizabethkhan@example.org,elizabethkhan,1941-01-03,Male,San Diego,2024-03-12,2025-03-12,Monthly,Mastercard,Auto-renew,Regular,Electronics,Romance,Smart TV,Medium,3.1,3
Andrew Smith,nwilliams@example.org,nwilliams,2004-08-17,Female,Chicago,2024-03-02,2025-03-02,Annual,Mastercard,Manual,Frequent,Clothing,Documentary,Tablet,High,3.8,5
Sean Fitzgerald,simmonselizabeth@example.net,simmonselizabeth,1988-09-27,Male,San Francisco,2024-02-21,2025-02-20,Monthly,Visa,Auto-renew,Frequent,Electronics,Comedy,Smartphone,Medium,4.3,1
Alexander Anderson,lunderwood@example.net,lunderwood,1943-09-17,Female,Columbus,2024-03-25,2025-03-25,Annual,Mastercard,Auto-renew,Regular,Books,Sci-Fi,Smartphone,Low,4.4,3
Jonathan Smith,cynthiasummers@example.net,cynthiasummers,1968-04-21,Female,Jacksonville,2024-03-28,2025-03-28,Monthly,Amex,Auto-renew,Regular,Electronics,Horror,Tablet,High,3.2,7
James Wallace,justinwilson@example.com,justinwilson,1998-08-12,Male,Phoenix,2024-01-20,2025-01-19,Monthly,Amex,Auto-renew,Occasional,Books,Horror,Tablet,High,4.2,2
Andrew Moore,maldonadoashley@example.net,maldonadoashley,1936-07-03,Female,Houston,2024-02-22,2025-02-21,Annual,Visa,Auto-renew,Occasional,Clothing,Comedy,Smartphone,High,3.8,7
Carmen Frazier,powersdavid@example.com,powersdavid,1994-08-19,Male,Chicago,2024-01-19,2025-01-18,Annual,Amex,Auto-renew,Frequent,Electronics,Comedy,Tablet,High,4.9,1
Leah Lee,kaylamckee@example.net,kaylamckee,1960-12-26,Male,Oklahoma City,2024-01-03,2025-01-02,Annual,Amex,Manual,Frequent,Electronics,Horror,Smart TV,High,4.1,4
Edward Miller,jeffrey42@example.net,jeffrey42,1945-12-30,Male,San Jose,2024-03-14,2025-03-14,Annual,Amex,Manual,Occasional,Books,Sci-Fi,Smart TV,High,4.5,4
Holly Moreno,stokesandrew@example.com,stokesandrew,1942-07-20,Male,New York,2024-03-28,2025-03-28,Annual,Amex,Auto-renew,Regular,Books,Romance,Smart TV,Medium,3.8,9
Joseph Phillips,allisonpalmer@example.com,allisonpalmer,1997-08-11,Male,Los Angeles,2024-02-22,2025-02-21,Monthly,Mastercard,Auto-renew,Occasional,Electronics,Drama,Smartphone,High,4.2,6
Christy Johnson,bradley65@example.com,bradley65,1961-01-08,Female,Los Angeles,2024-01-18,2025-01-17,Monthly,Visa,Auto-renew,Occasional,Books,Drama,Tablet,Medium,3.4,2
Christopher Christensen,lindseyharris@example.net,lindseyharris,1999-08-13,Female,New York,2024-01-13,2025-01-12,Monthly,Mastercard,Manual,Occasional,Electronics,Romance,Tablet,Medium,3.9,1
William Hines,huntdaniel@example.com,huntdaniel,1994-02-08,Female,Philadelphia,2024-01-03,2025-01-02,Monthly,Amex,Manual,Regular,Electronics,Comedy,Smartphone,High,4.0,3
Joel Garner,michaelespinoza@example.org,michaelespinoza,1969-10-31,Male,San Jose,2024-02-08,2025-02-07,Monthly,Visa,Manual,Occasional,Clothing,Horror,Smartphone,Low,3.5,0
George Jones,flandry@example.org,flandry,1936-08-02,Male,Los Angeles,2024-03-27,2025-03-27,Monthly,Amex,Auto-renew,Regular,Clothing,Comedy,Smartphone,Low,4.4,8
Reginald Smith,bbell@example.org,bbell,1966-06-03,Female,Chicago,2024-03-20,2025-03-20,Annual,Mastercard,Manual,Occasional,Clothing,Action,Smartphone,Low,4.7,1
Alexander Whitaker,smithamy@example.net,smithamy,1964-04-12,Male,New York,2024-01-15,2025-01-14,Annual,Visa,Auto-renew,Frequent,Clothing,Action,Smartphone,Medium,3.5,2
Jacob Stone,jhall@example.com,jhall,2006-02-20,Male,San Antonio,2024-04-14,2025-04-14,Monthly,Visa,Manual,Regular,Clothing,Sci-Fi,Smartphone,Low,3.2,3
Leslie Johnson,alec37@example.org,alec37,1944-05-12,Male,Jacksonville,2024-03-08,2025-03-08,Monthly,Mastercard,Manual,Regular,Electronics,Horror,Smartphone,Low,3.8,7
Becky Wilson,stephennewman@example.net,stephennewman,1966-11-05,Male,New York,2024-03-12,2025-03-12,Monthly,Visa,Manual,Frequent,Books,Romance,Tablet,High,4.2,8
Carlos Hill,melissafleming@example.com,melissafleming,1936-12-20,Male,Denver,2024-04-07,2025-04-07,Annual,Visa,Auto-renew,Regular,Electronics,Drama,Tablet,Low,3.6,5
Evan Garcia,mike48@example.com,mike48,1995-03-13,Female,Los Angeles,2024-02-16,2025-02-15,Monthly,Amex,Manual,Frequent,Books,Action,Smart TV,Low,4.5,2
Michael Evans,carolyn45@example.org,carolyn45,1950-02-13,Male,Los Angeles,2024-01-19,2025-01-18,Annual,Visa,Auto-renew,Frequent,Electronics,Romance,Smartphone,Medium,4.4,2
Jesus Reynolds,jimenezgeoffrey@example.com,jimenezgeoffrey,1942-02-07,Male,Fort Worth,2024-02-15,2025-02-14,Monthly,Mastercard,Auto-renew,Regular,Clothing,Documentary,Tablet,High,3.7,5
Lisa Walker,reneecox@example.com,reneecox,1993-08-09,Male,Philadelphia,2024-02-07,2025-02-06,Annual,Visa,Auto-renew,Occasional,Electronics,Comedy,Smart TV,Low,3.4,4
Erik Gonzales,riosamber@example.org,riosamber,1976-03-30,Male,Dallas,2024-02-11,2025-02-10,Monthly,Mastercard,Auto-renew,Regular,Clothing,Romance,Smart TV,Low,4.3,8
Richard Lang,jenniferodom@example.org,jenniferodom,1951-11-19,Female,Fort Worth,2024-03-10,2025-03-10,Monthly,Visa,Auto-renew,Occasional,Electronics,Horror,Tablet,Medium,4.3,9
Tracey Jenkins,annataylor@example.com,annataylor,1947-04-28,Male,Chicago,2024-04-10,2025-04-10,Monthly,Amex,Auto-renew,Occasional,Clothing,Horror,Smartphone,Medium,3.2,2
Travis Banks,gomezryan@example.org,gomezryan,1970-09-29,Female,El Paso,2024-01-21,2025-01-20,Monthly,Amex,Auto-renew,Frequent,Books,Sci-Fi,Tablet,Low,3.6,5
Denise Joseph,shirley12@example.org,shirley12,1979-12-02,Female,Fort Worth,2024-04-02,2025-04-02,Annual,Visa,Auto-renew,Occasional,Electronics,Romance,Smartphone,Low,4.7,4
Carrie Guerrero,destiny87@example.net,destiny87,1969-11-11,Male,Phoenix,2024-03-14,2025-03-14,Monthly,Amex,Auto-renew,Regular,Electronics,Sci-Fi,Tablet,Medium,3.6,10
Bruce Jacobs,benjaminbass@example.net,benjaminbass,1967-08-19,Male,Houston,2024-03-08,2025-03-08,Monthly,Visa,Auto-renew,Occasional,Clothing,Action,Smartphone,Medium,4.2,4
Robert Palmer,millertyler@example.net,millertyler,1981-11-04,Male,San Diego,2024-03-19,2025-03-19,Monthly,Amex,Manual,Occasional,Electronics,Action,Tablet,High,3.7,10
Jessica Estes PhD,allennicole@example.org,allennicole,1943-05-07,Female,Washington,2024-03-08,2025-03-08,Annual,Visa,Auto-renew,Occasional,Books,Action,Smart TV,High,3.3,10
Autumn Chambers,johnprice@example.net,johnprice,1936-09-04,Female,Chicago,2024-02-27,2025-02-26,Annual,Mastercard,Manual,Occasional,Books,Romance,Smart TV,Low,3.4,1
David Harris,william88@example.net,william88,1935-02-11,Female,Philadelphia,2024-04-06,2025-04-06,Monthly,Mastercard,Auto-renew,Regular,Books,Drama,Smart TV,Medium,4.5,4
Jeffrey Becker,elizabethnelson@example.net,elizabethnelson,1952-05-15,Female,San Jose,2024-02-27,2025-02-26,Monthly,Visa,Auto-renew,Regular,Books,Documentary,Tablet,High,4.3,6
Chris Humphrey,billy70@example.org,billy70,1958-06-21,Male,El Paso,2024-02-23,2025-02-22,Annual,Mastercard,Auto-renew,Occasional,Books,Horror,Tablet,High,3.6,5
Henry Tucker,fjoyce@example.net,fjoyce,1968-01-02,Male,Detroit,2024-02-16,2025-02-15,Monthly,Mastercard,Auto-renew,Regular,Clothing,Sci-Fi,Smartphone,High,3.6,3
Whitney Jones,gvega@example.net,gvega,1985-01-09,Male,Phoenix,2024-01-01,2024-12-31,Annual,Amex,Auto-renew,Occasional,Books,Drama,Smart TV,High,4.8,7
Edward Santiago,waremaria@example.com,waremaria,1942-11-11,Female,Nashville,2024-02-13,2025-02-12,Annual,Visa,Auto-renew,Occasional,Clothing,Documentary,Smartphone,Low,3.3,9
Whitney Cabrera,awest@example.com,awest,1990-07-02,Female,Denver,2024-02-24,2025-02-23,Annual,Amex,Manual,Regular,Books,Sci-Fi,Smartphone,Medium,4.8,9
Andrew Greene,michael56@example.org,michael56,1979-12-15,Female,Dallas,2024-02-05,2025-02-04,Annual,Visa,Manual,Regular,Electronics,Romance,Smartphone,Medium,3.0,9
Cody Cook,whitemichelle@example.net,whitemichelle,1966-06-22,Female,San Jose,2024-03-28,2025-03-28,Monthly,Mastercard,Manual,Occasional,Books,Action,Smart TV,Low,3.8,4
Haley Jackson,sbennett@example.org,sbennett,1991-02-15,Male,Nashville,2024-03-15,2025-03-15,Annual,Amex,Manual,Occasional,Clothing,Action,Tablet,Low,4.7,5
Douglas Thomas,jasonrasmussen@example.com,jasonrasmussen,1937-05-22,Male,Philadelphia,2024-03-04,2025-03-04,Monthly,Visa,Manual,Frequent,Books,Sci-Fi,Smart TV,Medium,3.5,2
Keith Juarez,qbrown@example.net,qbrown,1944-04-06,Male,Detroit,2024-01-18,2025-01-17,Annual,Visa,Manual,Occasional,Clothing,Documentary,Smart TV,Low,3.0,1
Maria Miller,dennis03@example.com,dennis03,1947-08-17,Male,Columbus,2024-03-27,2025-03-27,Annual,Amex,Manual,Regular,Clothing,Romance,Smart TV,High,3.6,9
John Nichols,ashleygray@example.org,ashleygray,1988-06-24,Male,Los Angeles,2024-03-20,2025-03-20,Annual,Amex,Manual,Frequent,Clothing,Horror,Tablet,Low,3.8,3
Angela Terry,baileynorton@example.org,baileynorton,1997-03-24,Male,Phoenix,2024-03-22,2025-03-22,Annual,Mastercard,Manual,Regular,Clothing,Action,Smartphone,Medium,4.6,6
Tracie Thomas,justin95@example.com,justin95,1951-10-13,Female,New York,2024-01-08,2025-01-07,Annual,Amex,Auto-renew,Frequent,Electronics,Horror,Tablet,Low,4.8,7
Chad Kennedy,joshua03@example.org,joshua03,1950-08-25,Female,Boston,2024-02-14,2025-02-13,Annual,Mastercard,Auto-renew,Regular,Clothing,Comedy,Tablet,Low,4.3,8
Renee Green,nfoster@example.com,nfoster,1972-12-27,Female,Jacksonville,2024-04-14,2025-04-14,Annual,Amex,Manual,Frequent,Clothing,Action,Smartphone,Medium,3.6,10
James Hubbard,erica62@example.org,erica62,1997-05-20,Female,Philadelphia,2024-01-24,2025-01-23,Annual,Mastercard,Auto-renew,Frequent,Electronics,Romance,Smart TV,Low,3.6,2
Julie Wong,amanda85@example.net,amanda85,1974-04-02,Female,Oklahoma City,2024-02-27,2025-02-26,Monthly,Mastercard,Manual,Frequent,Electronics,Action,Smart TV,Medium,4.3,9
Crystal Gonzalez,gbautista@example.net,gbautista,1937-10-16,Female,Seattle,2024-03-06,2025-03-06,Annual,Amex,Manual,Frequent,Clothing,Action,Smartphone,Medium,3.2,3
Ryan Gallagher,randywhite@example.net,randywhite,1950-03-29,Male,San Jose,2024-01-08,2025-01-07,Monthly,Amex,Manual,Frequent,Books,Comedy,Smartphone,Medium,4.1,4
Jose Taylor,uhall@example.com,uhall,1978-01-21,Male,Dallas,2024-01-31,2025-01-30,Monthly,Mastercard,Auto-renew,Frequent,Books,Drama,Smart TV,High,4.2,7
Leslie Morales,jaclyn86@example.com,jaclyn86,1969-09-14,Female,San Jose,2024-01-13,2025-01-12,Monthly,Amex,Manual,Frequent,Clothing,Action,Smartphone,Medium,3.5,7
Amber Peters,contrerasbrooke@example.org,contrerasbrooke,1992-05-06,Male,Austin,2024-02-24,2025-02-23,Annual,Amex,Auto-renew,Regular,Clothing,Horror,Tablet,Low,3.9,5
Alex Mccall,mfreeman@example.com,mfreeman,1983-11-19,Female,Los Angeles,2024-03-03,2025-03-03,Monthly,Visa,Auto-renew,Regular,Books,Sci-Fi,Smartphone,Medium,3.7,6
Briana Hall,mckinneykatherine@example.net,mckinneykatherine,1968-10-27,Male,Chicago,2024-01-06,2025-01-05,Annual,Amex,Manual,Frequent,Books,Action,Tablet,Medium,4.0,0
Christine Reed,rebeccahernandez@example.com,rebeccahernandez,1997-10-10,Male,New York,2024-03-08,2025-03-08,Monthly,Amex,Auto-renew,Regular,Clothing,Action,Smartphone,Medium,4.1,7
Joshua Kirk,forddouglas@example.net,forddouglas,1968-02-18,Female,Jacksonville,2024-02-04,2025-02-03,Annual,Visa,Manual,Regular,Books,Romance,Smart TV,Medium,3.0,0
Sean Allen,rodriguezhenry@example.org,rodriguezhenry,1949-01-31,Female,Columbus,2024-02-03,2025-02-02,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Sci-Fi,Smartphone,Low,4.5,10
Billy Wallace,pattersonandrea@example.org,pattersonandrea,1946-09-16,Female,Indianapolis,2024-01-18,2025-01-17,Annual,Visa,Manual,Regular,Clothing,Sci-Fi,Smart TV,Low,4.3,5
Kevin Allen,allisonstrong@example.org,allisonstrong,1939-04-20,Male,Dallas,2024-01-09,2025-01-08,Annual,Visa,Manual,Regular,Books,Romance,Tablet,Medium,3.5,8
Andrew Johnson,matthewharrison@example.net,matthewharrison,1982-03-21,Male,Philadelphia,2024-03-26,2025-03-26,Annual,Visa,Auto-renew,Regular,Electronics,Horror,Tablet,Medium,4.1,10
James Fritz,kparker@example.org,kparker,1940-05-07,Female,Columbus,2024-01-14,2025-01-13,Monthly,Visa,Auto-renew,Regular,Clothing,Comedy,Smartphone,High,3.2,4
Lee Gonzalez DDS,kevin83@example.org,kevin83,1966-12-07,Male,Indianapolis,2024-01-08,2025-01-07,Monthly,Amex,Auto-renew,Regular,Books,Documentary,Tablet,Medium,3.2,1
Katelyn Mccarthy,zwashington@example.net,zwashington,1937-05-16,Female,Dallas,2024-02-24,2025-02-23,Monthly,Amex,Auto-renew,Regular,Clothing,Drama,Smartphone,Low,3.5,5
William Thomas,alyssa28@example.com,alyssa28,1952-05-02,Male,Los Angeles,2024-04-02,2025-04-02,Monthly,Mastercard,Manual,Regular,Electronics,Documentary,Smartphone,Low,5.0,2
Melanie Martin,riceallison@example.com,riceallison,1969-01-16,Male,Phoenix,2024-01-01,2024-12-31,Annual,Mastercard,Auto-renew,Frequent,Clothing,Romance,Tablet,Low,4.9,3
Melissa Goodwin,garciajennifer@example.net,garciajennifer,1978-06-11,Male,Houston,2024-03-26,2025-03-26,Annual,Visa,Auto-renew,Occasional,Clothing,Drama,Tablet,Low,4.3,0
Renee Hayes,dawnmiller@example.com,dawnmiller,1986-05-28,Female,Dallas,2024-02-02,2025-02-01,Monthly,Visa,Manual,Regular,Clothing,Documentary,Smartphone,Medium,4.0,2
Edward Jenkins,leah52@example.com,leah52,1974-05-28,Male,Detroit,2024-03-08,2025-03-08,Monthly,Visa,Auto-renew,Frequent,Electronics,Documentary,Smart TV,High,4.5,7
Brandy Williamson,kevin03@example.com,kevin03,1981-08-06,Male,Los Angeles,2024-02-02,2025-02-01,Annual,Amex,Auto-renew,Occasional,Electronics,Romance,Smartphone,Medium,4.3,2
John Wolfe,lkent@example.net,lkent,1976-11-03,Female,Jacksonville,2024-03-19,2025-03-19,Monthly,Visa,Auto-renew,Regular,Clothing,Horror,Tablet,Low,3.8,5
Michael Cole,jennifer96@example.com,jennifer96,1969-10-17,Male,Detroit,2024-03-06,2025-03-06,Monthly,Mastercard,Manual,Frequent,Books,Horror,Tablet,Low,3.7,2
Krystal Walker,nicholas17@example.com,nicholas17,2004-01-22,Male,Austin,2024-02-19,2025-02-18,Annual,Mastercard,Manual,Frequent,Books,Drama,Tablet,Medium,3.7,6
Shawna Gonzales,robertking@example.net,robertking,1956-04-28,Female,Los Angeles,2024-02-28,2025-02-27,Monthly,Mastercard,Auto-renew,Frequent,Books,Comedy,Smart TV,Low,3.2,6
Maria Jensen,williamrogers@example.com,williamrogers,1951-08-08,Female,Fort Worth,2024-03-04,2025-03-04,Monthly,Visa,Auto-renew,Regular,Books,Documentary,Smart TV,Medium,3.6,1
Stephanie Randall,kathryn10@example.net,kathryn10,1970-06-30,Female,Houston,2024-02-26,2025-02-25,Annual,Mastercard,Auto-renew,Occasional,Electronics,Drama,Tablet,Low,4.4,5
John Bauer,amandamartin@example.com,amandamartin,1998-07-27,Male,Charlotte,2024-03-05,2025-03-05,Monthly,Amex,Manual,Regular,Books,Sci-Fi,Smart TV,High,3.3,8
Sean Davis,clayjamie@example.org,clayjamie,1949-12-08,Male,Denver,2024-02-16,2025-02-15,Annual,Mastercard,Auto-renew,Frequent,Books,Romance,Tablet,Low,3.8,10
Maria Walsh,abigailconrad@example.com,abigailconrad,1978-06-03,Male,New York,2024-02-26,2025-02-25,Annual,Mastercard,Auto-renew,Frequent,Books,Romance,Smartphone,Medium,3.0,4
Damon Walker,brian46@example.org,brian46,1987-09-22,Male,Washington,2024-03-24,2025-03-24,Annual,Visa,Auto-renew,Frequent,Books,Horror,Tablet,High,3.2,6
Timothy Thompson,austin23@example.com,austin23,1959-03-22,Female,Jacksonville,2024-01-08,2025-01-07,Annual,Visa,Manual,Regular,Books,Drama,Tablet,High,3.9,8
Tyler Morgan,garymeyers@example.org,garymeyers,1989-12-29,Male,Chicago,2024-03-15,2025-03-15,Monthly,Amex,Manual,Regular,Electronics,Drama,Smart TV,Medium,3.1,9
David Davis,zpruitt@example.org,zpruitt,1995-08-14,Female,Oklahoma City,2024-02-17,2025-02-16,Annual,Amex,Auto-renew,Occasional,Clothing,Romance,Tablet,Medium,4.3,0
Cindy Decker,cohenpaul@example.net,cohenpaul,1976-02-03,Male,Austin,2024-01-04,2025-01-03,Annual,Amex,Manual,Frequent,Books,Romance,Smart TV,High,4.2,7
Robert Wise,thomasthompson@example.net,thomasthompson,1977-02-18,Male,Columbus,2024-02-08,2025-02-07,Annual,Visa,Manual,Regular,Clothing,Romance,Smartphone,High,3.4,2
Antonio Williams,hancockjesus@example.com,hancockjesus,1960-08-10,Female,Houston,2024-02-18,2025-02-17,Monthly,Visa,Auto-renew,Frequent,Electronics,Drama,Tablet,Medium,3.9,2
Dominique Lucas,umclaughlin@example.net,umclaughlin,2003-04-09,Male,Chicago,2024-02-06,2025-02-05,Annual,Amex,Auto-renew,Frequent,Books,Sci-Fi,Smartphone,Medium,4.1,3
Megan Frank,ewilson@example.com,ewilson,1969-04-30,Female,San Diego,2024-02-12,2025-02-11,Annual,Amex,Manual,Frequent,Books,Comedy,Tablet,High,4.5,0
Troy Ramirez,kristy17@example.org,kristy17,1976-07-16,Male,Chicago,2024-01-13,2025-01-12,Monthly,Visa,Manual,Frequent,Books,Documentary,Smart TV,Low,3.7,6
